"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Shavuot","5/28/2020",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/29/2020",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/30/2020",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","7/29/2020",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/30/2020",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/18/2020",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5781","9/19/2020",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/20/2020",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","9/27/2020",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/28/2020",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/2/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/3/2020",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/4/2020",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/5/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/6/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/7/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/8/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/9/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/10/2020",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
